EcoBoundaryID,AdminBoundaryID,SpeciesTypeID,StratumID,SecondaryStratumID,StateClassID,AverageTemperature
Atlantic Maritime,Quebec,Pine - Genus type,Northeastern Coastal Zone,New York,Forest: Loblolly/Shortleaf Pine Group,11.55849266
Mixedwood Plains,Quebec,Pine - Genus type,Eastern Great Lakes Lowlands,New York,Forest: Loblolly/Shortleaf Pine Group,9.167370724
Atlantic Maritime,Quebec,Pine - Genus type,Atlantic Coastal Pine Barrens,New York,Forest: Loblolly/Shortleaf Pine Group,11.4255434
Mixedwood Plains,Ontario,Pine - Genus type,Piedmont,North Carolina,Forest: Loblolly/Shortleaf Pine Group,15.39669151
Atlantic Maritime,Quebec,Pine - Genus type,Middle Atlantic Coastal Plain,North Carolina,Forest: Loblolly/Shortleaf Pine Group,16.8131072
Mixedwood Plains,Ontario,Pine - Genus type,Southeastern Plains,North Carolina,Forest: Loblolly/Shortleaf Pine Group,16.42339057
Mixedwood Plains,Ontario,Pine - Genus type,Blue Ridge,North Carolina,Forest: Loblolly/Shortleaf Pine Group,13.74832021
Mixedwood Plains,Ontario,Pine - Genus type,Western Allegheny Plateau,Ohio,Forest: Loblolly/Shortleaf Pine Group,11.27211873
Mixedwood Plains,Alberta,Pine - Genus type,South Central Plains,Oklahoma,Forest: Loblolly/Shortleaf Pine Group,17.15346984
Mixedwood Plains,Alberta,Pine - Genus type,Ouachita Mountains,Oklahoma,Forest: Loblolly/Shortleaf Pine Group,16.13601844
Mixedwood Plains,Alberta,Pine - Genus type,Arkansas Valley,Oklahoma,Forest: Loblolly/Shortleaf Pine Group,16.10264227
Montane Cordillera,Alberta,Pine - Genus type,Boston Mountains,Oklahoma,Forest: Loblolly/Shortleaf Pine Group,15.81947936
Montane Cordillera,Alberta,Pine - Genus type,Ozark Highlands,Oklahoma,Forest: Loblolly/Shortleaf Pine Group,15.3554851
Mixedwood Plains,Ontario,Pine - Genus type,North Central Appalachians,Pennsylvania,Forest: Loblolly/Shortleaf Pine Group,8.148777443
Mixedwood Plains,Ontario,Pine - Genus type,Ridge and Valley,Pennsylvania,Forest: Loblolly/Shortleaf Pine Group,10.00219371
Mixedwood Plains,Ontario,Pine - Genus type,Piedmont,South Carolina,Forest: Loblolly/Shortleaf Pine Group,16.53229763
Atlantic Maritime,Quebec,Pine - Genus type,Middle Atlantic Coastal Plain,South Carolina,Forest: Loblolly/Shortleaf Pine Group,18.1153665
Mixedwood Plains,Ontario,Pine - Genus type,Southeastern Plains,South Carolina,Forest: Loblolly/Shortleaf Pine Group,17.48926201
Mixedwood Plains,Ontario,Pine - Genus type,Blue Ridge,South Carolina,Forest: Loblolly/Shortleaf Pine Group,14.86072963
